Date,Open,High,Low,Close,Adj Close,Volume
2002-12-31,10.110000,10.110000,10.110000,10.110000,4.668639,0
2003-01-02,10.010000,10.010000,10.010000,10.010000,4.622460,0
2003-01-03,10.010000,10.010000,10.010000,10.010000,4.622460,0
2003-01-06,10.000000,10.000000,10.000000,10.000000,4.617845,0
2003-01-07,10.030000,10.030000,10.030000,10.030000,4.631698,0
2003-01-08,10.050000,10.050000,10.050000,10.050000,4.640932,0
2003-01-09,9.980000,9.980000,9.980000,9.980000,4.608610,0
2003-01-10,9.980000,9.980000,9.980000,9.980000,4.608610,0
2003-01-13,9.990000,9.990000,9.990000,9.990000,4.613225,0
2003-01-14,10.020000,10.020000,10.020000,10.020000,4.627082,0
2003-01-15,10.030000,10.030000,10.030000,10.030000,4.631698,0
2003-01-16,10.030000,10.030000,10.030000,10.030000,4.631698,0
2003-01-17,10.050000,10.050000,10.050000,10.050000,4.640932,0
2003-01-21,10.060000,10.060000,10.060000,10.060000,4.645553,0
2003-01-22,10.080000,10.080000,10.080000,10.080000,4.654787,0
2003-01-23,10.070000,10.070000,10.070000,10.070000,4.650167,0
2003-01-24,10.090000,10.090000,10.090000,10.090000,4.659405,0
2003-01-27,10.060000,10.060000,10.060000,10.060000,4.645553,0
2003-01-28,10.060000,10.060000,10.060000,10.060000,4.645553,0
2003-01-29,10.030000,10.030000,10.030000,10.030000,4.631698,0
2003-01-30,10.050000,10.050000,10.050000,10.050000,4.640932,0
2003-01-31,10.060000,10.060000,10.060000,10.060000,4.667377,0
2003-02-03,10.050000,10.050000,10.050000,10.050000,4.662741,0
2003-02-04,10.080000,10.080000,10.080000,10.080000,4.676659,0
2003-02-05,10.050000,10.050000,10.050000,10.050000,4.662741,0
2003-02-06,10.080000,10.080000,10.080000,10.080000,4.676659,0
2003-02-07,10.100000,10.100000,10.100000,10.100000,4.685935,0
2003-02-10,10.070000,10.070000,10.070000,10.070000,4.672016,0
2003-02-11,10.080000,10.080000,10.080000,10.080000,4.676659,0
2003-02-12,10.100000,10.100000,10.100000,10.100000,4.685935,0
2003-02-13,10.130000,10.130000,10.130000,10.130000,4.699857,0
2003-02-14,10.090000,10.090000,10.090000,10.090000,4.681299,0
2003-02-18,10.090000,10.090000,10.090000,10.090000,4.681299,0
2003-02-19,10.120000,10.120000,10.120000,10.120000,4.695216,0
2003-02-20,10.140000,10.140000,10.140000,10.140000,4.704494,0
2003-02-21,10.120000,10.120000,10.120000,10.120000,4.695216,0
2003-02-24,10.140000,10.140000,10.140000,10.140000,4.704494,0
2003-02-25,10.150000,10.150000,10.150000,10.150000,4.709136,0
