Date,Open,High,Low,Close,Adj Close,Volume
2002-12-31,10.380000,10.380000,10.380000,10.380000,5.873649,0
2003-01-02,10.300000,10.300000,10.300000,10.300000,5.828381,0
2003-01-03,10.300000,10.300000,10.300000,10.300000,5.828381,0
2003-01-06,10.300000,10.300000,10.300000,10.300000,5.828381,0
2003-01-07,10.320000,10.320000,10.320000,10.320000,5.839699,0
2003-01-08,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-01-09,10.280000,10.280000,10.280000,10.280000,5.817060,0
2003-01-10,10.290000,10.290000,10.290000,10.290000,5.822720,0
2003-01-13,10.300000,10.300000,10.300000,10.300000,5.828381,0
2003-01-14,10.310000,10.310000,10.310000,10.310000,5.834038,0
2003-01-15,10.310000,10.310000,10.310000,10.310000,5.834038,0
2003-01-16,10.310000,10.310000,10.310000,10.310000,5.834038,0
2003-01-17,10.330000,10.330000,10.330000,10.330000,5.845358,0
2003-01-21,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-01-22,10.360000,10.360000,10.360000,10.360000,5.862334,0
2003-01-23,10.350000,10.350000,10.350000,10.350000,5.856672,0
2003-01-24,10.360000,10.360000,10.360000,10.360000,5.862334,0
2003-01-27,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-01-28,10.330000,10.330000,10.330000,10.330000,5.845358,0
2003-01-29,10.310000,10.310000,10.310000,10.310000,5.834038,0
2003-01-30,10.330000,10.330000,10.330000,10.330000,5.845358,0
2003-01-31,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-02-03,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-02-04,10.360000,10.360000,10.360000,10.360000,5.862334,0
2003-02-05,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-02-06,10.360000,10.360000,10.360000,10.360000,5.862334,0
2003-02-07,10.370000,10.370000,10.370000,10.370000,5.867990,0
2003-02-10,10.350000,10.350000,10.350000,10.350000,5.856672,0
2003-02-11,10.350000,10.350000,10.350000,10.350000,5.856672,0
2003-02-12,10.370000,10.370000,10.370000,10.370000,5.867990,0
2003-02-13,10.380000,10.380000,10.380000,10.380000,5.873649,0
2003-02-14,10.350000,10.350000,10.350000,10.350000,5.856672,0
2003-02-18,10.350000,10.350000,10.350000,10.350000,5.856672,0
2003-02-19,10.380000,10.380000,10.380000,10.380000,5.873649,0
2003-02-20,10.390000,10.390000,10.390000,10.390000,5.879309,0
2003-02-21,10.370000,10.370000,10.370000,10.370000,5.867990,0
2003-02-24,10.390000,10.390000,10.390000,10.390000,5.879309,0
2003-02-25,10.400000,10.400000,10.400000,10.400000,5.884970,0
2003-02-26,10.410000,10.410000,10.410000,10.410000,5.890625,0
2003-02-27,10.420000,10.420000,10.420000,10.420000,5.896288,0
2003-02-28,10.440000,10.440000,10.440000,10.440000,5.907604,0
2003-03-03,10.450000,10.450000,10.450000,10.450000,5.913258,0
2003-03-04,10.460000,10.460000,10.460000,10.460000,5.918919,0
2003-03-05,10.470000,10.470000,10.470000,10.470000,5.924576,0
2003-03-06,10.460000,10.460000,10.460000,10.460000,5.918919,0
2003-03-07,10.460000,10.460000,10.460000,10.460000,5.918919,0
2003-03-10,10.480000,10.480000,10.480000,10.480000,5.930234,0
2003-03-11,10.470000,10.470000,10.470000,10.470000,5.924576,0
2003-03-12,10.460000,10.460000,10.460000,10.460000,5.918919,0
2003-03-13,10.400000,10.400000,10.400000,10.400000,5.884970,0
2003-03-14,10.410000,10.410000,10.410000,10.410000,5.890625,0
2003-03-17,10.370000,10.370000,10.370000,10.370000,5.867990,0
2003-03-18,10.340000,10.340000,10.340000,10.340000,5.851016,0
2003-03-19,10.320000,10.320000,10.320000,10.320000,5.839699,0
2003-03-20,10.300000,10.300000,10.300000,10.300000,5.828381,0
